docket,usCite
01-618,537 U.S. 186
1/1/1184,537 U.S. 270
1/1/1120,537 U.S. 280
01-653,537 U.S. 293
01-657,537 U.S. 293
2103068,537 U.S. 322
1/1/1420,537 U.S. 371
1/1/1118,537 U.S. 393
1/1/1119,537 U.S. 393
1/1/1015,537 U.S. 418
1/1/1209,537 U.S. 437
1/1/1382,537 U.S. 437
1/1/1067,537 U.S. 465
1/1/1375,537 U.S. 488
1/1/1500,537 U.S. 522
1/1/1231,538 U.S. 1
1853242,538 U.S. 11
1/1/1127,538 U.S. 63
01-729,538 U.S. 84
1/1/1572,538 U.S. 119
01-963,538 U.S. 135
1/1/1269,538 U.S. 188
1/1/1862,538 U.S. 202
1/1/1325,538 U.S. 216
1/1/1437,538 U.S. 254
1/1/1596,538 U.S. 254
1/1/1418,538 U.S. 314
00-1471,538 U.S. 329
1/1/1107,538 U.S. 343
02-215,538 U.S. 401
1/1/1289,538 U.S. 408
1/1/1435,538 U.S. 440
02-258,538 U.S. 456
01-593,538 U.S. 468
01-594,538 U.S. 468
13911,538 U.S. 488
1/1/1559,538 U.S. 500
1/1/1491,538 U.S. 510
23773,538 U.S. 580
1/1/1806,538 U.S. 600
1363117,538 U.S. 626
02-524,538 U.S. 634
01-188,538 U.S. 644
02-337,538 U.S. 691
02-281,538 U.S. 701
2/1/1212,538 U.S. 715
126 ORIG,538 U.S. 720
1/1/1368,538 U.S. 721
1/1/1444,538 U.S. 760
02-196,538 U.S. 803
02-469,538 U.S. 822
2458844,538 U.S. 835
02-306,539 U.S. 1
02-428,539 U.S. 23
02-299,539 U.S. 39
2/1/1295,539 U.S. 52
01-950,539 U.S. 59
1/1/1018,539 U.S. 59
01-10873,539 U.S. 69
1143241,539 U.S. 69
02-679,539 U.S. 90
02-695,539 U.S. 103
02-271,539 U.S. 111
02-371,539 U.S. 113
32904,539 U.S. 126
02-403,539 U.S. 146
1373344,539 U.S. 166
02-361,539 U.S. 194
02-516,539 U.S. 244
02-241,539 U.S. 306
02-722,539 U.S. 396
02-634,539 U.S. 444
02-182,539 U.S. 461
02-311,539 U.S. 510
02-102,539 U.S. 558
1/1/1757,539 U.S. 607
02-575,539 U.S. 654
2/1/1597,540 U.S. 1
2/1/1369,540 U.S. 12
02-763,540 U.S. 20
02-473,540 U.S. 31
02-749,540 U.S. 44
2/1/1674,540 U.S. 93
2/1/1675,540 U.S. 93
2/1/1676,540 U.S. 93
2/1/1702,540 U.S. 93
2/1/1727,540 U.S. 93
2/1/1733,540 U.S. 93
2/1/1734,540 U.S. 93
2/1/1740,540 U.S. 93
2/1/1747,540 U.S. 93
2/1/1753,540 U.S. 93
2/1/1755,540 U.S. 93
2/1/1756,540 U.S. 93
02-809,540 U.S. 366
1745526,540 U.S. 375
2/1/1196,540 U.S. 389
02-682,540 U.S. 398
2/1/1060,540 U.S. 419
02-628,540 U.S. 431
02-819,540 U.S. 443
02-658,540 U.S. 461
1612942,540 U.S. 519
02-693,540 U.S. 526
03-374,540 U.S. 544
02-811,540 U.S. 551
2/1/1080,540 U.S. 581
2/1/1377,540 U.S. 614
2/1/1348,540 U.S. 644
2331010,540 U.S. 668
2/1/1315,540 U.S. 712
2/1/1290,540 U.S. 736
2615534,540 U.S. 749
02-458,541 U.S. 1
02-964,541 U.S. 27
2741542,541 U.S. 36
2/1/1541,541 U.S. 77
02-626,541 U.S. 95
2/1/1389,541 U.S. 114
2/1/1238,541 U.S. 125
2/1/1386,541 U.S. 125
2/1/1405,541 U.S. 125
2/1/1794,541 U.S. 149
02-954,541 U.S. 157
2/1/1593,541 U.S. 176
03-107,541 U.S. 193
02-857,541 U.S. 232
2/1/1343,541 U.S. 246
2/1/1580,541 U.S. 267
2/1/1205,541 U.S. 369
2/1/1824,541 U.S. 386
2/1/1657,541 U.S. 401
1692959,541 U.S. 428
3/1/1028,541 U.S. 433
2/1/1606,541 U.S. 440
2/1/1016,541 U.S. 465
2/1/1667,541 U.S. 509
2/1/1689,541 U.S. 567
14670,541 U.S. 600
1191116,541 U.S. 615
1795958,541 U.S. 637
2/1/1684,541 U.S. 652
40614,541 U.S. 677
02-891,541 U.S. 739
03-358,541 U.S. 752
2/1/1609,541 U.S. 774
2/1/1624,542 U.S. 1
03-101,542 U.S. 55
03-167,542 U.S. 74
2/1/1809,542 U.S. 88
33297,542 U.S. 129
03-724,542 U.S. 155
1333195,542 U.S. 177
2/1/1845,542 U.S. 200
28914,542 U.S. 200
03-221,542 U.S. 225
02-572,542 U.S. 241
02-10038,542 U.S. 274
2/1/1632,542 U.S. 296
03-526,542 U.S. 348
03-475,542 U.S. 367
2/1/1603,542 U.S. 406
3/1/1027,542 U.S. 426
03-334,542 U.S. 466
03-343,542 U.S. 466
1750303,542 U.S. 507
2/1/1371,542 U.S. 600
2/1/1183,542 U.S. 630
3/1/1200,542 U.S. 649
03-218,542 U.S. 656
03-339,542 U.S. 692
03-339,542 U.S. 692
03-583,543 U.S. 1
2/1/1028,543 U.S. 14
1248855,543 U.S. 37
03-377,543 U.S. 50
3/1/1669,543 U.S. 77
105 ORIG,543 U.S. 86
03-409,543 U.S. 111
03-407,543 U.S. 125
03-710,543 U.S. 146
2/1/1192,543 U.S. 157
03-931,543 U.S. 175
3/1/1261,543 U.S. 194
3/1/1293,543 U.S. 209
3/1/1294,543 U.S. 209
04-104,543 U.S. 220
04-105,543 U.S. 220
03-674,543 U.S. 335
03-878,543 U.S. 371
2019851,543 U.S. 371
03-923,543 U.S. 405
03-892,543 U.S. 426
03-907,543 U.S. 426
2796357,543 U.S. 440
04-394,543 U.S. 447
2468004,543 U.S. 462
03-814,543 U.S. 481
03-636,543 U.S. 499
03-633,543 U.S. 551
2/1/1472,543 U.S. 631
03-853,543 U.S. 631
3/1/1395,544 U.S. 1
2653182,544 U.S. 13
03-184,544 U.S. 40
3/1/1034,544 U.S. 40
03-287,544 U.S. 74
3/1/1423,544 U.S. 93
3/1/1601,544 U.S. 113
3/1/1039,544 U.S. 133
2/1/1672,544 U.S. 167
03-855,544 U.S. 197
3/1/1160,544 U.S. 228
2608622,544 U.S. 269
3/1/1696,544 U.S. 280
2842013,544 U.S. 295
3/1/1407,544 U.S. 320
03-932,544 U.S. 336
03-725,544 U.S. 349
03-750,544 U.S. 385
2820828,544 U.S. 408
03-388,544 U.S. 431
3/1/1116,544 U.S. 460
3/1/1120,544 U.S. 460
3/1/1274,544 U.S. 460
04-163,544 U.S. 528
3/1/1164,544 U.S. 550
3/1/1165,544 U.S. 550
12144,544 U.S. 581
1237899,544 U.S. 622
1469827,544 U.S. 660
04-368,544 U.S. 696
2912139,544 U.S. 709
3/1/1488,544 U.S. 734
3/1/1454,545 U.S. 1
128 ORIG,545 U.S. 75
3/1/1388,545 U.S. 119
1848219,545 U.S. 162
04-637,545 U.S. 175
3/1/1237,545 U.S. 193
04-495,545 U.S. 209
2832516,545 U.S. 231
04-603,545 U.S. 308
04-340,545 U.S. 323
1235342,545 U.S. 353
1299624,545 U.S. 374
04-169,545 U.S. 409
3/1/1230,545 U.S. 429
3/1/1234,545 U.S. 440
04-108,545 U.S. 469
1653910,545 U.S. 524
24197,545 U.S. 546
27484,545 U.S. 546
3/1/1566,545 U.S. 596
03-10198,545 U.S. 605
04-563,545 U.S. 644
3/1/1500,545 U.S. 677
04-278,545 U.S. 748
04-514,545 U.S. 794
3/1/1693,545 U.S. 844
04-480,545 U.S. 913
04-277,545 U.S. 967
04-281,545 U.S. 967
2366863,546 U.S. 1
4/1/1475,546 U.S. 6
4/1/1538,546 U.S. 9
2938467,546 U.S. 12
3/1/1238,546 U.S. 21
3/1/1238,546 U.S. 21
04-759,546 U.S. 43
04-698,546 U.S. 49
04-373,546 U.S. 72
05-101,546 U.S. 74
04-712,546 U.S. 81
04-631,546 U.S. 95
4/1/1140,546 U.S. 132
04-881,546 U.S. 142
4/1/1203,546 U.S. 151
4/1/1236,546 U.S. 151
04-905,546 U.S. 164
04-721,546 U.S. 189
04-980,546 U.S. 212
04-623,546 U.S. 243
4/1/1186,546 U.S. 303
4/1/1144,546 U.S. 320
17623,546 U.S. 333
4/1/1332,546 U.S. 345
04-885,546 U.S. 356
04-597,546 U.S. 394
4/1/1581,546 U.S. 410
128 ORIG,546 U.S. 413
4/1/1084,546 U.S. 418
4/1/1264,546 U.S. 440
4/1/1095,546 U.S. 450
05-379,546 U.S. 454
05-555,546 U.S. 459
04-593,546 U.S. 470
04-848,546 U.S. 481
04-944,546 U.S. 500
04-928,546 U.S. 517
04-805,547 U.S. 1
04-814,547 U.S. 1
4/1/1244,547 U.S. 9
4/1/1352,547 U.S. 9
4/1/1329,547 U.S. 28
4/1/1152,547 U.S. 47
4/1/1371,547 U.S. 71
4/1/1414,547 U.S. 90
4/1/1067,547 U.S. 103
8 ORIG,547 U.S. 150
05-552,547 U.S. 183
2372737,547 U.S. 188
4/1/1618,547 U.S. 189
4/1/1324,547 U.S. 198
4/1/1477,547 U.S. 220
4/1/1495,547 U.S. 250
4/1/1506,547 U.S. 268
4/1/1544,547 U.S. 293
4/1/1327,547 U.S. 319
4/1/1704,547 U.S. 332
4/1/1724,547 U.S. 332
05-260,547 U.S. 356
4/1/1527,547 U.S. 370
05-130,547 U.S. 388
05-502,547 U.S. 398
04-473,547 U.S. 410
04-433,547 U.S. 451
1493233,547 U.S. 489
4/1/1131,547 U.S. 512
05-465,547 U.S. 516
2588200,547 U.S. 518
2516642,547 U.S. 573
4/1/1360,547 U.S. 586
05-409,547 U.S. 633
05-128,547 U.S. 651
05-200,547 U.S. 677
4/1/1034,547 U.S. 715
4/1/1384,547 U.S. 715
1212727,547 U.S. 813
1388408,547 U.S. 813
2857749,547 U.S. 843
1860302,547 U.S. 867
1880755,548 U.S. 1
4/1/1376,548 U.S. 30
05-259,548 U.S. 53
05-416,548 U.S. 81
04-607,548 U.S. 124
05-352,548 U.S. 140
4/1/1170,548 U.S. 163
28975,548 U.S. 212
4/1/1528,548 U.S. 230
4/1/1530,548 U.S. 230
4/1/1697,548 U.S. 230
40680,548 U.S. 291
04-10566,548 U.S. 331
17287,548 U.S. 331
05-204,548 U.S. 399
05-254,548 U.S. 399
05-276,548 U.S. 399
05-439,548 U.S. 399
4/1/1739,548 U.S. 521
05-184,548 U.S. 557
1483736,548 U.S. 735
06-532,549 U.S. 1
06-533,549 U.S. 1
05-493,549 U.S. 7
05-547,549 U.S. 47
2103919,549 U.S. 69
05-785,549 U.S. 70
05-669,549 U.S. 84
05-998,549 U.S. 102
05-608,549 U.S. 118
2672966,549 U.S. 147
05-746,549 U.S. 158
5/1/1629,549 U.S. 183
1882581,549 U.S. 199
1913261,549 U.S. 199
,549 U.S. 199
05-593,549 U.S. 225
1697403,549 U.S. 270
05-381,549 U.S. 312
2526139,549 U.S. 327
5/1/1256,549 U.S. 346
05-996,549 U.S. 365
5/1/1240,549 U.S. 384
05-595,549 U.S. 406
06-102,549 U.S. 422
06-641,549 U.S. 437
5/1/1429,549 U.S. 443
5/1/1272,549 U.S. 457
06-116,549 U.S. 483
5/1/1120,549 U.S. 497
05-848,549 U.S. 561
5/1/1342,550 U.S. 1
05-705,550 U.S. 45
5/1/1508,550 U.S. 81
05-380,550 U.S. 124
5/1/1382,550 U.S. 124
2688307,550 U.S. 192
05-11284,550 U.S. 233
05-11287,550 U.S. 286
05-11304,550 U.S. 297
5/1/1345,550 U.S. 330
5/1/1631,550 U.S. 372
4/1/1350,550 U.S. 398
5/1/1541,550 U.S. 429
5/1/1056,550 U.S. 437
5/1/1575,550 U.S. 465
06-376,550 U.S. 501
06-618,550 U.S. 511
05-983,550 U.S. 516
5/1/1126,550 U.S. 544
06-313,550 U.S. 598
06-605,550 U.S. 609
5/1/1074,550 U.S. 618
06-413,551 U.S. 1
29372,551 U.S. 47
06-100,551 U.S. 47
06-531,551 U.S. 74
1356663,551 U.S. 87
1977210,551 U.S. 89
5/1/1448,551 U.S. 96
1221158,551 U.S. 112
06-562,551 U.S. 128
5/1/1284,551 U.S. 142
06-593,551 U.S. 158
5/1/1589,551 U.S. 177
5/1/1657,551 U.S. 177
06-134,551 U.S. 193
1242707,551 U.S. 205
29706,551 U.S. 224
2270500,551 U.S. 249
5/1/1157,551 U.S. 264
06-427,551 U.S. 291
06-484,551 U.S. 308
1406336,551 U.S. 338
06-278,551 U.S. 393
06-969,551 U.S. 449
06-970,551 U.S. 449
06-219,551 U.S. 537
06-157,551 U.S. 587
06-340,551 U.S. 644
06-549,551 U.S. 644
05-908,551 U.S. 701
05-915,551 U.S. 701
06-480,551 U.S. 877
1644839,551 U.S. 930
06-637,552 U.S. 1
6/1/1680,552 U.S. 3
6/1/1287,552 U.S. 9
1828921,552 U.S. 23
2208043,552 U.S. 38
06-571,552 U.S. 74
1616715,552 U.S. 85
07-110,552 U.S. 117
07-212,552 U.S. 120
6/1/1164,552 U.S. 130
14396,552 U.S. 148
6/1/1286,552 U.S. 181
06-766,552 U.S. 196
2639394,552 U.S. 214
06-856,552 U.S. 248
2326382,552 U.S. 264
06-179,552 U.S. 312
6/1/1463,552 U.S. 346
06-457,552 U.S. 364
6/1/1221,552 U.S. 379
6/1/1322,552 U.S. 389
6/1/1509,552 U.S. 421
6/1/1498,552 U.S. 440
06-713,552 U.S. 442
06-730,552 U.S. 442
06-10119,552 U.S. 472
06-984,552 U.S. 491
06-989,552 U.S. 576
134 ORIG,552 U.S. 597
07-308,553 U.S. 1
6/1/1413,553 U.S. 16
1291314,553 U.S. 35
06-11429,553 U.S. 124
06-11543,553 U.S. 137
6/1/1082,553 U.S. 164
40744,553 U.S. 181
40748,553 U.S. 181
06-11612,553 U.S. 242
07-455,553 U.S. 272
06-694,553 U.S. 285
06-666,553 U.S. 328
6/1/1646,553 U.S. 377
26845,553 U.S. 406
6/1/1431,553 U.S. 442
6/1/1321,553 U.S. 474
6/1/1005,553 U.S. 507
6/1/1456,553 U.S. 550
6/1/1717,553 U.S. 571
07-474,553 U.S. 591
06-937,553 U.S. 617
07-210,553 U.S. 639
07-214,553 U.S. 662
6/1/1666,553 U.S. 674
07-394,553 U.S. 674
2050258,553 U.S. 708
6/1/1195,553 U.S. 723
6/1/1196,553 U.S. 723
6/1/1204,553 U.S. 851
07-371,553 U.S. 880
6/1/1181,554 U.S. 1
07-312,554 U.S. 33
06-939,554 U.S. 60
6/1/1505,554 U.S. 84
06-923,554 U.S. 105
6/1/1037,554 U.S. 135
07-208,554 U.S. 164
07-440,554 U.S. 191
07-330,554 U.S. 237
07-552,554 U.S. 269
07-411,554 U.S. 316
1515574,554 U.S. 353
07-343,554 U.S. 407
07-219,554 U.S. 471
6/1/1457,554 U.S. 527
6/1/1462,554 U.S. 527
07-290,554 U.S. 570
07-320,554 U.S. 724
06-984,554 U.S. 759
1340288,554 U.S. 759
1340653,554 U.S. 759
07-10689,555 U.S. 1
08A332,555 U.S. 5
7/1/1239,555 U.S. 7
7/1/1223,555 U.S. 55
07-544,555 U.S. 57
07-562,555 U.S. 70
1855615,555 U.S. 113
06-11206,555 U.S. 122
07-513,555 U.S. 135
07-901,555 U.S. 160
07-772,555 U.S. 179
07-610,555 U.S. 207
07-751,555 U.S. 223
7/1/1125,555 U.S. 246
1394344,555 U.S. 261
6/1/1595,555 U.S. 271
07-636,555 U.S. 285
7/1/1059,555 U.S. 305
7/1/1078,555 U.S. 305
7/1/1122,555 U.S. 323
07-854,555 U.S. 335
1370969,555 U.S. 350
07-869,555 U.S. 353
07-526,555 U.S. 379
07-608,555 U.S. 415
07-512,555 U.S. 438
07-665,555 U.S. 460
07-463,555 U.S. 488
07-499,555 U.S. 511
6/1/1249,555 U.S. 555
07-689,556 U.S. 1
07-773,556 U.S. 49
30894,556 U.S. 81
"105, Orig.",556 U.S. 98
7/1/1315,556 U.S. 111
2851996,556 U.S. 129
2955359,556 U.S. 148
7/1/1372,556 U.S. 163
7/1/1216,556 U.S. 178
2416992,556 U.S. 180
07-588,556 U.S. 208
07-589,556 U.S. 208
07-597,556 U.S. 208
07-581,556 U.S. 247
7/1/1410,556 U.S. 287
07-10441,556 U.S. 303
07-542,556 U.S. 332
07-615,556 U.S. 366
7/1/1209,556 U.S. 396
08-681,556 U.S. 418
7/1/1114,556 U.S. 449
07-582,556 U.S. 502
1231081,556 U.S. 568
7/1/1356,556 U.S. 586
7/1/1601,556 U.S. 599
7/1/1607,556 U.S. 599
08-146,556 U.S. 624
7/1/1437,556 U.S. 635
08-108,556 U.S. 646
7/1/1015,556 U.S. 662
07-543,556 U.S. 701
07-10374,556 U.S. 729
7/1/1529,556 U.S. 778
08-192,556 U.S. 816
08-598,556 U.S. 825
8/1/1034,556 U.S. 838
7/1/1090,556 U.S. 848
08-539,556 U.S. 848
40776,556 U.S. 868
08-267,556 U.S. 904
08-660,556 U.S. 928
7/1/1309,556 U.S. 938
08A1096,556 U.S. 960
8/1/1513,556 U.S. 960
08A1100,556 U.S. 960
08-310,557 U.S. 1
08-495,557 U.S. 29
40760,557 U.S. 52
23223,557 U.S. 110
08-295,557 U.S. 137
08-307,557 U.S. 137
08-441,557 U.S. 167
08-322,557 U.S. 193
08-305,557 U.S. 230
07-984,557 U.S. 261
07-990,557 U.S. 261
07-591,557 U.S. 305
08-479,557 U.S. 364
08-214,557 U.S. 404
08-289,557 U.S. 433
08-294,557 U.S. 433
08-453,557 U.S. 519
7/1/1428,557 U.S. 557
08-328,557 U.S. 557
08-678,558 U.S. 100
08-351,558 U.S. 87
08-604,558 U.S. 67
08-992,558 U.S. 53
32020,558 U.S. 45
08-10537,558 U.S. 30
8/1/1263,558 U.S. 15
09-144,558 U.S. 4
08-10495,558 U.S. 1
07-11191,559 U.S. 32
08-969,559 U.S. 1
08-205,558 U.S. 310
2648952,558 U.S. 290
"138, Orig.",558 U.S. 256
08-911,558 U.S. 233
1398027,558 U.S. 220
1229651,558 U.S. 209
09A648,558 U.S. 183
08-674,558 U.S. 165
08-724,558 U.S. 139
08-559,558 U.S. 120
08-680,559 U.S. 98
8/1/1107,559 U.S. 77
8/1/1175,559 U.S. 50
09-273,559 U.S. 1088
08-10914,559 U.S. 34
08-240,559 U.S. 175
08-103,559 U.S. 154
1834096,559 U.S. 133
8/1/1234,559 U.S. 131
8/1/1119,559 U.S. 229
8/1/1225,559 U.S. 229
08-728,559 U.S. 196
8/1/1008,559 U.S. 393
08-651,559 U.S. 356
08-586,559 U.S. 335
8/1/1402,559 U.S. 314
08-304,559 U.S. 280
8/1/1134,559 U.S. 260
8/1/1529,559 U.S. 799
09-338,559 U.S. 766
08-472,559 U.S. 700
8/1/1198,559 U.S. 662
08-905,559 U.S. 633
8/1/1200,559 U.S. 573
08-970,559 U.S. 542
08-810,559 U.S. 506
08-769,559 U.S. 460
08-645,560 U.S. 1
2011969,560 U.S. 48
8/1/1224,560 U.S. 126
2088305,560 U.S. 181
08-661,560 U.S. 183
08-974,560 U.S. 205
8/1/1569,560 U.S. 218
09-448,560 U.S. 242
8/1/1341,560 U.S. 258
1591575,560 U.S. 272
2537950,560 U.S. 284
8/1/1555,560 U.S. 305
"132, Orig.",560 U.S. 330
8/1/1470,560 U.S. 370
09-223,560 U.S. 413
8/1/1301,560 U.S. 438
1204449,560 U.S. 474
08-998,560 U.S. 505
09-337,560 U.S. 538
09-940,
20698,560 U.S. 563
8/1/1322,560 U.S. 586
09-367,560 U.S. 605
1250469,560 U.S. 631
8/1/1457,560 U.S. 674
8/1/1151,560 U.S. 702
8/1/1332,560 U.S. 746
08-538,560 U.S. 770
1619729,560 U.S. 817
8/1/1498,561 U.S. 1
31290,561 U.S. 1
09-497,561 U.S. 63
8/1/1553,561 U.S. 89
8/1/1554,561 U.S. 89
09-475,561 U.S. 139
09-559,561 U.S. 186
8/1/1191,561 U.S. 247
8/1/1214,561 U.S. 287
09-158,561 U.S. 320
8/1/1394,561 U.S. 358
08-876,561 U.S. 465
08-861,130 U.S. 3138
08-964,
8/1/1371,
8/1/1521,561 U.S. 742
2538680,561 U.S. 945
8/1/1065,558 U.S. 1103